record,n_true,n_detected,tp,fp,fn,sensitivity_%,ppv_%
100,2274,2273,2273,0,1,99.956,100.0
101,1874,1868,1865,3,9,99.52,99.839
102,2192,2210,2173,37,19,99.133,98.326
103,2091,2078,2078,0,13,99.378,100.0
104,2311,894,804,90,1507,34.79,89.933
105,2691,2607,2538,69,153,94.314,97.353
106,2098,1993,1992,1,106,94.948,99.95
107,2140,2103,2095,8,45,97.897,99.62
108,1824,1995,1731,264,93,94.901,86.767
109,2535,2524,2524,0,11,99.566,100.0
111,2133,2106,2102,4,31,98.547,99.81
112,2550,2539,2539,0,11,99.569,100.0
113,1796,1795,1795,0,1,99.944,100.0
114,1890,1157,1115,42,775,58.995,96.37
115,1962,1953,1953,0,9,99.541,100.0
116,2421,2385,2380,5,41,98.306,99.79
117,1539,1535,1535,0,4,99.74,100.0
118,2301,2287,2278,9,23,99.0,99.606
119,2094,1988,1987,1,107,94.89,99.95
121,1876,1861,1860,1,16,99.147,99.946
122,2479,2476,2476,0,3,99.879,100.0
123,1519,1515,1515,0,4,99.737,100.0
124,1634,1583,1583,0,51,96.879,100.0
200,2792,2604,2591,13,201,92.801,99.501
201,2039,1894,1894,0,145,92.889,100.0
202,2146,2114,2112,2,34,98.416,99.905
203,3108,2618,2601,17,507,83.687,99.351
205,2672,2652,2652,0,20,99.251,100.0
207,2385,1902,1874,28,511,78.574,98.528
208,3040,2482,2479,3,561,81.546,99.879
209,3052,3005,3005,0,47,98.46,100.0
210,2685,2512,2510,2,175,93.482,99.92
212,2763,2748,2748,0,15,99.457,100.0
213,3294,3240,3240,0,54,98.361,100.0
214,2297,2254,2254,0,43,98.128,100.0
215,3400,3356,3356,0,44,98.706,100.0
217,2280,2177,2169,8,111,95.132,99.633
219,2312,2141,2141,0,171,92.604,100.0
220,2069,2048,2048,0,21,98.985,100.0
221,2462,2318,2318,0,144,94.151,100.0
222,2634,2418,1950,468,684,74.032,80.645
223,2643,2554,2554,0,89,96.633,100.0
228,2141,1443,1366,77,775,63.802,94.664
230,2466,2256,2256,0,210,91.484,100.0
231,2011,1571,1571,0,440,78.12,100.0
232,1816,1780,1779,1,37,97.963,99.944
233,3152,3069,3069,0,83,97.367,100.0
234,2764,2749,2749,0,15,99.457,100.0
